#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.27e+01    7.28e+01      1.06e+00    1.04e+00      1.98e+00    2.30e+00    1.0e-03
    100      2.30e+01    2.23e+01      4.87e-02    4.77e-02      7.28e-01    7.04e-01    1.0e-03
    200      1.61e+01    1.57e+01      1.18e-02    1.29e-02      5.08e-01    4.97e-01    1.0e-03
    300      1.61e+01    1.56e+01      4.79e-02    5.45e-02      5.09e-01    4.95e-01    1.0e-03
    400      8.27e+00    8.49e+00      7.15e-03    6.95e-03      2.61e-01    2.68e-01    1.0e-03
    500      9.65e+00    9.04e+00      4.24e-02    4.09e-02      3.05e-01    2.86e-01    1.0e-03
    600      8.02e+00    8.83e+00      5.55e-02    5.87e-02      2.53e-01    2.79e-01    1.0e-03
    700      7.28e+00    7.52e+00      4.40e-02    4.31e-02      2.30e-01    2.38e-01    1.0e-03
    800      6.40e+00    6.39e+00      1.93e-02    1.91e-02      2.02e-01    2.02e-01    1.0e-03
    900      6.63e+00    6.16e+00      2.65e-02    2.98e-02      2.10e-01    1.95e-01    1.0e-03
   1000      6.92e+00    6.85e+00      2.57e-02    3.03e-02      2.19e-01    2.17e-01    1.0e-03
   1100      6.85e+00    6.59e+00      8.49e-02    8.61e-02      2.16e-01    2.08e-01    1.0e-03
   1200      5.66e+00    6.08e+00      8.44e-03    8.16e-03      1.79e-01    1.92e-01    1.0e-03
   1300      5.93e+00    5.61e+00      3.70e-02    3.63e-02      1.87e-01    1.77e-01    1.0e-03
   1400      8.99e+00    9.32e+00      3.92e-02    4.17e-02      2.84e-01    2.95e-01    1.0e-03
   1500      5.68e+00    5.62e+00      2.83e-02    2.95e-02      1.80e-01    1.78e-01    1.0e-03
   1600      6.79e+00    7.26e+00      1.90e-02    1.78e-02      2.15e-01    2.30e-01    1.0e-03
   1700      6.15e+00    6.20e+00      2.41e-02    2.40e-02      1.95e-01    1.96e-01    1.0e-03
   1800      5.34e+00    5.49e+00      2.80e-02    2.71e-02      1.69e-01    1.74e-01    1.0e-03
   1900      5.88e+00    6.18e+00      5.98e-03    8.47e-03      1.86e-01    1.96e-01    1.0e-03
   2000      6.74e+00    5.80e+00      2.85e-02    3.17e-02      2.13e-01    1.83e-01    1.0e-03
   2100      5.23e+00    5.16e+00      1.08e-02    1.24e-02      1.66e-01    1.63e-01    1.0e-03
   2200      4.60e+00    4.71e+00      9.87e-03    1.20e-02      1.45e-01    1.49e-01    1.0e-03
   2300      4.60e+00    4.09e+00      8.75e-02    8.68e-02      1.45e-01    1.29e-01    1.0e-03
   2400      4.85e+00    5.12e+00      1.50e-02    2.02e-02      1.53e-01    1.62e-01    1.0e-03
   2500      1.08e+01    9.57e+00      2.90e-01    3.00e-01      3.42e-01    3.02e-01    1.0e-03
   2600      6.77e+00    5.30e+00      6.90e-02    6.35e-02      2.14e-01    1.68e-01    1.0e-03
   2700      5.41e+00    5.24e+00      1.78e-02    8.29e-03      1.71e-01    1.66e-01    1.0e-03
   2800      4.56e+00    4.30e+00      2.86e-02    3.07e-02      1.44e-01    1.36e-01    1.0e-03
   2900      4.35e+00    4.21e+00      7.71e-03    6.59e-03      1.38e-01    1.33e-01    1.0e-03
   3000      4.72e+00    4.26e+00      4.59e-02    4.29e-02      1.49e-01    1.35e-01    1.0e-03
   3100      4.11e+00    4.65e+00      4.04e-03    4.00e-03      1.30e-01    1.47e-01    1.0e-03
   3200      4.96e+00    4.93e+00      1.42e-02    1.33e-02      1.57e-01    1.56e-01    1.0e-03
   3300      4.55e+00    4.46e+00      3.92e-02    4.11e-02      1.44e-01    1.41e-01    1.0e-03
   3400      4.31e+00    4.26e+00      4.61e-02    3.94e-02      1.36e-01    1.35e-01    1.0e-03
   3500      9.50e+00    7.18e+00      2.62e-01    2.63e-01      3.00e-01    2.26e-01    1.0e-03
   3600      4.43e+00    4.50e+00      6.74e-02    6.99e-02      1.40e-01    1.42e-01    1.0e-03
   3700      3.80e+00    4.52e+00      2.37e-02    2.32e-02      1.20e-01    1.43e-01    1.0e-03
   3800      4.12e+00    4.43e+00      1.55e-02    1.63e-02      1.30e-01    1.40e-01    1.0e-03
   3900      5.04e+00    4.35e+00      3.68e-02    3.56e-02      1.59e-01    1.38e-01    1.0e-03
   4000      4.56e+00    4.00e+00      1.03e-03    1.14e-03      1.44e-01    1.27e-01    1.0e-03
   4100      4.40e+00    4.25e+00      1.57e-02    2.28e-02      1.39e-01    1.35e-01    1.0e-03
   4200      4.35e+00    3.92e+00      6.28e-02    6.48e-02      1.38e-01    1.24e-01    1.0e-03
   4300      3.41e+00    3.95e+00      3.33e-02    3.18e-02      1.08e-01    1.25e-01    1.0e-03
   4400      4.13e+00    4.13e+00      3.07e-01    3.09e-01      1.29e-01    1.29e-01    1.0e-03
   4500      8.47e+00    9.87e+00      6.81e-02    7.59e-02      2.68e-01    3.12e-01    1.0e-03
   4600      6.03e+00    4.28e+00      1.46e-02    2.52e-02      1.91e-01    1.35e-01    1.0e-03
   4700      5.63e+00    5.76e+00      4.09e-02    4.15e-02      1.78e-01    1.82e-01    1.0e-03
   4800      3.61e+00    3.74e+00      9.95e-03    1.35e-02      1.14e-01    1.18e-01    1.0e-03
   4900      4.29e+00    3.47e+00      1.05e-02    1.03e-02      1.36e-01    1.10e-01    1.0e-03
   5000      8.86e+00    8.64e+00      1.33e-02    1.63e-02      2.87e-01    2.80e-01    9.5e-04
   5100      3.34e+00    3.50e+00      1.20e-02    1.54e-02      1.08e-01    1.13e-01    9.5e-04
   5200      3.45e+00    3.13e+00      1.64e-02    1.73e-02      1.12e-01    1.01e-01    9.5e-04
   5300      3.36e+00    2.81e+00      1.48e-02    1.59e-02      1.09e-01    9.10e-02    9.5e-04
   5400      3.02e+00    3.01e+00      2.03e-02    1.74e-02      9.78e-02    9.77e-02    9.5e-04
   5500      3.06e+00    2.79e+00      2.72e-02    2.32e-02      9.88e-02    9.03e-02    9.5e-04
   5600      2.81e+00    3.29e+00      4.30e-03    2.63e-03      9.10e-02    1.07e-01    9.5e-04
   5700      3.42e+00    3.31e+00      4.15e-02    4.15e-02      1.10e-01    1.07e-01    9.5e-04
   5800      3.31e+00    3.05e+00      1.31e-02    1.27e-02      1.07e-01    9.88e-02    9.5e-04
   5900      3.90e+00    3.55e+00      4.65e-02    4.30e-02      1.26e-01    1.15e-01    9.5e-04
   6000      3.29e+00    3.45e+00      1.70e-02    2.53e-02      1.07e-01    1.12e-01    9.5e-04
   6100      1.99e+01    2.00e+01      2.18e-01    2.05e-01      6.42e-01    6.45e-01    9.5e-04
   6200      1.27e+01    1.39e+01      1.01e-01    1.09e-01      4.11e-01    4.49e-01    9.5e-04
   6300      1.06e+01    1.24e+01      6.28e-02    6.04e-02      3.43e-01    4.03e-01    9.5e-04
   6400      6.70e+00    7.27e+00      6.50e-03    8.43e-03      2.17e-01    2.36e-01    9.5e-04
   6500      6.36e+00    6.77e+00      4.98e-02    5.24e-02      2.06e-01    2.19e-01    9.5e-04
   6600      4.94e+00    4.62e+00      3.32e-02    4.29e-02      1.60e-01    1.49e-01    9.5e-04
   6700      4.90e+00    5.51e+00      1.94e-02    1.70e-02      1.59e-01    1.79e-01    9.5e-04
   6800      5.35e+00    5.06e+00      9.94e-02    9.25e-02      1.71e-01    1.62e-01    9.5e-04
   6900      3.98e+00    3.77e+00      1.70e-02    9.77e-03      1.29e-01    1.22e-01    9.5e-04
   7000      3.51e+00    3.49e+00      2.39e-02    2.21e-02      1.14e-01    1.13e-01    9.5e-04
   7100      3.88e+00    3.93e+00      2.07e-02    2.38e-02      1.26e-01    1.27e-01    9.5e-04
   7200      1.03e+01    1.12e+01      3.32e-02    3.39e-02      3.35e-01    3.64e-01    9.5e-04
   7300      3.73e+00    4.48e+00      3.79e-02    3.83e-02      1.21e-01    1.45e-01    9.5e-04
   7400      3.80e+00    3.06e+00      9.78e-03    1.39e-02      1.23e-01    9.92e-02    9.5e-04
   7500      4.51e+00    4.75e+00      1.58e-02    2.27e-02      1.46e-01    1.54e-01    9.5e-04
