# Time-averaged data for fix 3
# TimeStep c_msd_O[4] c_msd_H[4] v_fitslope_O v_fitslope_H
0 2.21456e-30 1.78541e-30 3.47222e+21 3.47222e+21
100 0.0356437 0.0713311 0.121108 0.262652
200 0.107491 0.140528 0.20971 0.231121
300 0.216566 0.247732 0.250309 0.261127
400 0.413218 0.416081 0.341266 0.331581
500 0.6421 0.644615 0.440258 0.430336
600 0.864772 0.873205 0.518509 0.501636
700 1.03205 1.02977 0.560993 0.542822
800 1.20301 1.24397 0.582713 0.571969
900 1.30616 1.3985 0.585256 0.581228
1000 1.39919 1.46075 0.571666 0.577544
1100 1.54587 1.59756 0.558469 0.566291
1200 1.70046 1.82498 0.549268 0.559656
1300 1.89807 1.95312 0.546356 0.560906
1400 2.06987 2.17819 0.547038 0.56632
1500 2.24138 2.4625 0.547702 0.576048
1600 2.54627 2.77583 0.555074 0.591093
1700 2.86574 3.2201 0.57052 0.619064
1800 3.16487 3.38888 0.590638 0.643409
1900 3.38235 3.71654 0.609181 0.666771
2000 3.69089 3.95183 0.6276 0.686617
2100 3.96868 4.26214 0.646051 0.7051
2200 4.28483 4.61994 0.664261 0.725201
2300 4.60051 4.95732 0.683233 0.744555
2400 4.95322 5.44579 0.702333 0.766755
2500 5.29781 5.83209 0.721771 0.790796
2600 5.77101 6.28632 0.743283 0.81509
2700 6.21554 6.76382 0.767621 0.840884
2800 6.5542 7.01605 0.790812 0.864352
2900 6.94665 7.32233 0.81298 0.884079
3000 7.25883 7.75722 0.833769 0.901554
3100 7.75149 8.1782 0.853599 0.919331
3200 8.38107 8.8011 0.876598 0.940009
3300 9.14123 9.59687 0.90392 0.966424
3400 9.68744 10.2619 0.934413 0.995504
3500 10.0624 10.6485 0.962063 1.02368
3600 10.4984 10.9536 0.987404 1.04835
3700 11.0225 11.4788 1.01182 1.07081
3800 11.4238 12.0416 1.0354 1.09398
3900 11.8265 12.6332 1.05611 1.11667
4000 12.5163 13.4417 1.07757 1.14222
4100 13.1133 14.0673 1.1 1.16659
4200 13.7069 14.6107 1.12257 1.19158
4300 14.1531 15.1504 1.14422 1.21608
4400 14.6458 15.5031 1.16444 1.23762
4500 15.0178 16.1145 1.18317 1.25774
4600 15.3929 16.7174 1.19982 1.27722
4700 15.7402 17.1979 1.21463 1.2958
4800 16.3948 17.8606 1.22885 1.31424
4900 16.9518 18.45 1.24391 1.3338
5000 16.9254 18.8889 1.25612 1.35193
5100 17.1523 19.4455 1.26452 1.36773
5200 17.626 20.2419 1.27227 1.38409
5300 18.3186 21.3913 1.28099 1.40285
5400 19.0514 22.052 1.2911 1.42348
5500 19.6099 22.7486 1.30203 1.44339
5600 19.97 22.7697 1.31216 1.46079
